Country/Region,SKU,SKU Description,Volume Production,Date
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,0,2021-07-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,0,2021-08-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,0,2022-01-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,0,2022-04-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,0.8712000000000001,2022-02-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,1.26,2021-04-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,1.64,2021-01-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,1.7136000000000002,2022-05-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,1.96,2021-06-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,2.2968,2022-08-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,2.4192000000000005,2022-07-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,2.6352,2022-09-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,3.03,2021-11-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,3.27,2021-12-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,3.33,2021-05-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,3.4704,2022-06-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,4.23,2021-02-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,4.44,2021-03-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,5.83,2021-09-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,5.88,2021-10-01 00:00:00
Austria,1573003,C SHOCK MNO JUMPING STRAWB NEW AU DE HU,6.3216,2022-03-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0,2021-06-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0,2021-07-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0,2022-01-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0,2022-02-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0,2022-03-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0.0288,2022-08-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0.4,2021-05-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,0.48,2021-01-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,1.0152,2022-07-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,1.38,2021-09-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,1.4,2021-04-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,1.6631999999999998,2022-04-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,2.15,2021-03-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,2.33,2021-08-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,2.5128000000000004,2022-05-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,2.98,2021-02-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,3.1464000000000003,2022-06-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,3.41,2021-11-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,4.1616,2022-09-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,4.31,2021-12-01 00:00:00
Austria,1573012,C SHOCK MNO ROLLING CHERRY NEW AU DE,4.56,2021-10-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0,2021-05-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0,2021-07-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0,2022-01-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0,2022-06-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0,2022-09-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,0.0648,2022-08-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,1.3752,2022-07-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,1.476,2022-05-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,1.99,2021-03-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.0736,2022-02-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.19,2021-08-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.85,2021-04-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.05,2021-11-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.29,2021-06-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.59,2021-12-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.73,2021-10-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.02,2021-02-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.03,2021-01-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.34,2021-09-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.3424000000000005,2022-03-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,8.704799999999999,2022-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-05-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-07-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-08-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-12-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-02-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-06-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0.6696,2022-07-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.34,2021-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.38,2021-11-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.6704,2022-05-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.97,2021-01-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.0448,2022-08-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.05,2021-03-01 00:00:00
